Real count,Simulated count,Color,Epochs,YOLO model,Precision,Recall,AP 0.5,AP 0.5:0.95
100,0,G,100,N,0.772,0.725,0.794,0.446
100,0,G,100,S,0.847,0.768,0.861,0.500
100,0,G,100,M,0.899,0.821,0.904,0.550
100,0,G,100,L,0.912,0.849,0.922,0.553
100,0,G,100,X,0.889,0.836,0.903,0.546
100,8000,G,100,N,0.840,0.778,0.853,0.470
100,8000,G,100,S,0.882,0.843,0.897,0.533
100,8000,G,100,M,0.911,0.874,0.921,0.571
100,8000,G,100,L,0.949,0.860,0.931,0.589
100,8000,G,100,X,0.918,0.887,0.915,0.587
100,16000,G,100,N,0.907,0.809,0.898,0.493
100,16000,G,100,S,0.921,0.878,0.934,0.560
100,16000,G,100,M,0.954,0.905,0.947,0.599
100,16000,G,100,L,0.958,0.902,0.953,0.611
100,16000,G,100,X,0.920,0.938,0.957,0.628
100,0,C,100,N,0.863,0.740,0.846,0.447
100,0,C,100,S,0.866,0.788,0.869,0.487
100,0,C,100,M,0.909,0.790,0.885,0.540
100,0,C,100,L,0.849,0.799,0.879,0.538
100,0,C,100,X,0.863,0.811,0.890,0.540
100,8000,C,100,N,0.807,0.814,0.861,0.440
100,8000,C,100,S,0.848,0.828,0.882,0.494
100,8000,C,100,M,0.880,0.849,0.905,0.554
100,8000,C,100,L,0.930,0.863,0.923,0.576
100,8000,C,100,X,0.946,0.839,0.920,0.596
100,16000,C,100,N,0.893,0.786,0.885,0.459
100,16000,C,100,S,0.907,0.876,0.922,0.545
100,16000,C,100,M,0.925,0.891,0.935,0.598
100,16000,C,100,L,0.942,0.908,0.949,0.618
100,16000,C,100,X,0.960,0.903,0.951,0.623